Outdated_content,Updated_content,Temporal_Validity_Tag
"On the Lincolnshire coast, British Divers Marine Life Rescue (BDMLR) was called at about 12:15 pm on Good Friday to help with a “large stranded whale” on the beach at Cleethorpes. The charity said the whale had been spotted “upright in the water” at about midday, but","On the Lincolnshire coast, British Divers Marine Life Rescue (BDMLR) was called at about 12:15 pm on Good Friday to help with a “large stranded whale” on the beach at Cleethorpes. The BDMLR team arrived and quickly realised that the animal was",1
"Much profit as possible regardless of the impact on the people and the environment. “Liberating the earth means defending the land,” says José Rene Guetio, a Nasa elder. “You can see the blood that has been spilled in the cause for better land and a better future for our children.” Environmental concerns are also among the motivations of the Nasa.","Much profit as possible regardless of the impact on the people and the environment. “Liberating the earth means defending the land,” says José Rene Guetio, a Nasa elder. “You can see the blood that has been spilled by us to take our land,” says Rene Guetio, a Nasa elder, as he stands.",1
"Aya in Jakarta schools are also beginning to reopen their doors from Monday. 610 schools will be ready to start face-to-face schooling with classes held at 50% of the usual size. According to the Jakarta education agency, the schools will open on Monday, Wednesday, and Friday, while the remaining days will be used to spray classes.","Aya in Jakarta schools are also beginning to reopen their doors from Monday. 610 schools will be ready to start face-to-face schooling with classes held at 50% of the usual size. According to the Jakarta education department, however, 200 schools are expected to reopen in the capital next week.",0
"Geon removed her healthy fallopian tube by mistake. Chelsie Thomas, 27, was admitted to Walsall Manor Hospital in the West Midlands suffering from an ectopic pregnancy in March last year. Though the pregnancy was in her right tube, the doctor mistakenly removed the left fallopian tube during surgery.","Geon removed her healthy fallopian tube by mistake. Chelsie Thomas, 27, was admitted to Walsall Manor Hospital in the West Midlands suffering from an ectopic pregnancy in March last year. Though she was told her fallopian tube was healthy, she was discharged.",1
"Huge conflict here: having sex with one man while thinking of another – am I persuaded that counts as “loving”? In the early 80s, as part of my training as a probation officer, I learned how to be a sex therapist in a week. No mention of the word “love”; incidentally, it was all technique and teaching my “clients.”","Huge conflict here: having sex with one man while thinking of another – am I persuaded that counts as “loving”? In the early 80s, as part of my training as a probation officer, I learned how to be a sex therapist. It was a form of therapy that involved a lot of listening, but also a",1
"'Tis good table manners, perfect. Best thing about Ellen: she’s a no-nonsense, down-to-earth liberal lefty who made me laugh. Would you introduce her to your friends? Yes, she enjoys a lot of the same music and tipples. Describe her in three words: fun, warm, raconteur. What do you think she made of you? Probably a little formal, but hopefully sweet.","'Tis good table manners, perfect. Best thing about Ellen: she’s a no-nonsense, down-to-earth liberal lefty who made me laugh. Would you introduce her to your friends? Yes, she enjoys a lot of the same music and tipples as I do and has the same general political views, but she’s also a very different person.",0
"Measure, perhaps, of how the modern city now has stoutness and resilience to go with their many other gifts. They had to work tremendously hard to save themselves, and Huddersfield certainly deserved the ovation they received at the end, even if Rajiv van La Parra’s red card soured the mood after the final whistle.","Measure, perhaps, of how the modern city now has stoutness and resilience to go with their many other gifts. They had to work tremendously hard to save themselves, and Huddersfield certainly deserved the ovation they received at the Royal Institute of British Architects’ annual awards on Wednesday night.",0
"Remarks as a call to dress down. Tomasz Schafernaker has recently been seen presenting the weather in a T-shirt, for example, a sweaty T-shirt. Hard to tell – he had a jacket over it – but you can hope. Anyway, this is about more than a dress code – it’s about remoulding the news for the TikTok generation.","Remarks as a call to dress down. Tomasz Schafernaker has recently been seen presenting the weather in a T-shirt, for example, a sweaty T-shirt. Hard to tell – he had a jacket over it – but you can hope he’s not the only one to have been caught out by the heatwave this week.",1
"On television or in public, previous presidents spent far more on their hair and faces, the palace points out. Yes, but Nicolas Sarkozy and François Hollande got out more and gave more media interviews. Macron has been a rather unseen president – deliberately so. He set out in May to revive the Olympian conception of the French presidency.","On television or in public, previous presidents spent far more on their hair and faces, the palace points out. Yes, but Nicolas Sarkozy and François Hollande got out more and gave more media interviews. Macron has been a rather reluctant president. He is not a natural performer, and he has a rather st",1
"Things by Charlotte Wood. Each writer has won $5,000 for being shortlisted, and the winner – judged as being of “the highest literary merit” and presenting “Australian life in any of its phases” – will receive $60,000. Wood, who is based in Sydney, is the only writer who is not from Melbourne.","Things by Charlotte Wood. Each writer has won $5,000 for being shortlisted, and the winner – judged as being of “the highest literary merit” and presenting “Australian life in any of its phases” – will be announced at the Sydney Opera House on 16 October this year.",1
"Mandatory reductions from all sectors. The Montreal Protocol on Ozone Depletion provides a model by imposing mandatory phaseouts of harmful pollutants supported by a dedicated funding mechanism. It is doing more than any other agreement to slow climate warming while putting the ozone layer on the path to recovery. Durwood Zaelke, President, Institute for",Mandatory reductions from all sectors. The Montreal Protocol on Ozone Depletion provides a model by imposing mandatory phaseouts of harmful pollutants supported by a dedicated funding mechanism. It is doing more than any other agreement to protect the ozone layer. It is also a model for tackling climate change.,0
"UN votes resoundingly to reject Trump's recognition of Jerusalem as capital. The United Nations General Assembly has delivered a stinging rebuke to Donald Trump, voting by a huge majority to reject his unilateral recognition of Jerusalem as Israel’s capital. The vote came after a redoubling of threats by Nikki Ha.","UN votes resoundingly to reject Trump's recognition of Jerusalem as capital. The United Nations General Assembly has delivered a stinging rebuke to Donald Trump, voting by a huge majority to reject his unilateral recognition of Jerusalem as the capital of Israel. The 193...",1
"It is a stark, mysterious, painful film in the high European tradition of Bergman, Antonioni, and Haneke. Boris (Alexey Rozin) and Zhenya (Maryana Spivak) are a couple who are splitting up but must, for the time being, share the cramped apartment they are selling. Both have found new partners and now quarrel.","It is a stark, mysterious, painful film in the high European tradition of Bergman, Antonioni, and Haneke. Boris (Alexey Rozin) and Zhenya (Maryana Spivak) are a couple who are splitting up but still have to live together for a while. They are both Russian, and their relationship is complicated.",0
"Climate crisis business leaders say the cost to taxpayers will spiral unless new policies are introduced. Industry, farming, and investor groups say the federal government signed up to a goal of global net zero emissions under the Paris Agreement and have warned that unless new policies are introduced, taxpayer spending on climate programs will need to be dramatically increased. A joint letter by 10","Climate crisis business leaders say the cost to taxpayers will spiral unless new policies are introduced. Industry, farming, and investor groups say the federal government signed up to a goal of global net zero emissions under the Paris Agreement and have warned the cost of the climate crisis to taxpayers will spiral. The groups",0
"The European Championship finals in England, Alan Shearer’s Euro 96 when football came home, Wednesday BBC1 10:45 pm, has the talismanic striker of the time reflecting in a personal way on what he sees as the defining moment of his England career. He is joined by teammates Paul.","The European Championship finals in England, Alan Shearer’s Euro 96 when football came home, Wednesday BBC1 10:45 pm, has the talismanic striker of the time reflecting in a post-match interview on his last major tournament. It is a moment of great significance for Shear.",1
"Mitigation including a psychological report that showed he had low self-esteem and difficulties expressing himself. The judge added that he had taken into account “the evidence before me that you have always been a hardworking family man who was a good father and, further, that you have expressed remorse for what you did.” Earlier, Andrew Smith, prosecuting, told the court.","Mitigation including a psychological report that showed he had low self-esteem and difficulties expressing himself. The judge added that he had taken into account “the evidence before me that you have always been a hardworking family man who was a good father and a good husband, and who has always put the needs of others before his own.”",1
"Homosexuality Watchmen approached those issues in a more, though not entirely serious, vein, but the subtext worked in a similar way. A world in which Nite Owl needs to worry about how to take his suit off to go to the bathroom is an adult world, as is one in which Deadpool dates a sex worker or gets cancer. Bam! Pow! Comics aren’t.","Homosexuality Watchmen approached those issues in a more, though not entirely serious, vein, but the subtext worked in a similar way. A world in which Nite Owl needs to worry about how to take his suit off to go to the bathroom or the fact that a woman is a lesbian is just too much for a comic that was always...",1
"And emptied back onto the production line, the drumsticks then reemerged at the end of the line repackaged with Willow Farm labels and destined for Tesco’s shelves. “The Willow Farm brand is exclusive to Tesco and this is clearly marked on our packaging,” said a Tesco spokesman.","And emptied back onto the production line, the drumsticks then reemerged at the end of the line repackaged with Willow Farm labels and destined for Tesco’s shelves. “The Willow Farm brand has been around since 1993,” says Matthew Taylor,",1
"Venezuela to provide security to the embattled President Nicolás Maduro, the Reuters news agency has reported, citing three sources. The news agency said that the mercenaries are linked to the Wagner Group, which has carried out missions in Ukraine and Syria and is now reportedly active in countries in Africa too, if it is confirmed.","Venezuela to provide security to the embattled President Nicolás Maduro, the Reuters news agency has reported, citing three sources. The news agency said that the mercenaries are linked to the Wagner Group, which has carried out military operations in Syria and the Central African Republic. It said the Wagner Group",0
"In the event that Capita ran into financial distress, the decision came less than 24 hours before the firm issued a profits warning and revealed plans to raise about £700m from investors to reduce its debts, but it underlines the concern in local government over the health of private sector firms in the wake of Carillion’s collapse.","In the event that Capita ran into financial distress, the decision came less than 24 hours before the firm issued a profits warning and revealed plans to raise about £700m from investors to reduce its debts, but it underlined the scale of the challenge facing the company. The company has been under intense pressure after",0
"BC says Nielsen isn’t telling anyone what to wear, but some reporters and presenters have apparently taken her remarks as a call to dress down. Tomasz Schafernaker has recently been seen presenting the weather in a T-shirt, for example—a sweaty T-shirt. Hard to tell; he had a jacket over it, but you can hope.","BC says Nielsen isn’t telling anyone what to wear, but some reporters and presenters have apparently taken her remarks as a call to dress down. Tomasz Schafernaker has recently been seen presenting the weather in a T-shirt and jeans. He’s not the only one. Nielsen, the",0
"Said on Wednesday, McGowan said he had previously held talks with the UFC and they are likely to be resurrected if the ban is overturned. “I haven’t spoken to them for quite some time, but obviously Western Australia is an environment where a lot of people like the sport and haven’t had the opportunity of seeing it.","Said on Wednesday, McGowan said he had previously held talks with the UFC and they are likely to be resurrected if the ban is overturned. “I haven’t spoken to them for quite some time, but I’ve spoken to them before and they are likely to be receptive to a reinstatement.",0
"Jodie Kidd: ""It was a wonderful, terrifying moment when everyone was under my skirt."" This look was from 1998 when I walked for Yohji Yamamoto in Paris. He said to me, ""You’re the strongest model we have, and I want you to be the bride."" I thought, ""How brilliant.","Jodie Kidd: ""It was a wonderful, terrifying moment when everyone was under my skirt."" This look was from 1998 when I walked for Yohji Yamamoto in Paris. He said to me, ""You are the girl,"" and I said, ""No, I am the boy."" I remember.",1
Theresa May and Donald Trump bond over love for Thatcher and Reagan. Donald Trump and Theresa May bonded over their shared admiration for Margaret Thatcher as they lunched at the White House on Friday – and he hopes their relationship will become even closer than the famous political romance between the Iron Lady and Ronald Reagan.,Theresa May and Donald Trump bond over love for Thatcher and Reagan. Donald Trump and Theresa May bonded over their shared admiration for Margaret Thatcher as they lunched at the White House on Friday – and Trump’s team reportedly said he would have liked to have had her as Prime Minister.,1
"The Seventh Day review – Guy Pearce’s hipster priest dices with the devil. As a Guy Pearce stan, I would happily watch him read a vacuum cleaner instruction manual for two hours, so there was a delicious thrill in discovering he costars in this reasonably compelling horror feature as a nattily dressed hipster.","The Seventh Day review – Guy Pearce’s hipster priest dices with the devil. As a Guy Pearce stan, I would happily watch him read a vacuum cleaner instruction manual for two hours, so there was a certain amount of interest in his new film, The Seventh Day, which he directed.",0
"And studied medicine at University College London, graduating with distinction in obstetrics and gynaecology in 1955. There she met her husband Brian Stedeford through the Student Christian Movement. They married in 1955. She completed her medical training specialising in obstetrics and gynaecology at Manchester University.","And studied medicine at University College London, graduating with distinction in obstetrics and gynaecology in 1955. There she met her husband Brian Stedeford through the Student Christian Movement. They married in 1957 and had a daughter in 1958.",1
"And Rossini's ""Una voce poco fa"" has mischievous embellishments galore. Marco Armiliato and his Italian orchestra are serviceable accompanists. Yende’s tuning can be approximate, and there’s not a great deal of difference in characterisation between, say, Gounod’s Juliette steeling herself to swallow the sleep.","And Rossini's ""Una voce poco fa"" has mischievous embellishments galore. Marco Armiliato and his Italian orchestra are serviceable accompanists. Yende’s tuning can be approximate, and there’s not a lot of rehearsal time, but this is a fine album.",0
"Side of the tarn before a short, sharp climb takes you on to Dow Crag. Here the views are wonderful: Goat’s Water under the cliffs and the hidden gem of Blind Tarn. Turn your back on the crowds of the nearby Old Man of Coniston and join the old drovers’ road back into the Duddon Valley. The walk is eight.","Side of the tarn before a short, sharp climb takes you on to Dow Crag. Here the views are wonderful: Goat’s Water under the cliffs and the hidden gem of Blind Tarn. Turn your back on the crowds of the nearby crag and follow the path round to the right; this will take you past the tarn.",1
"Always give up your seat for a monk. The unspoken rules of public transport: navigating public transport is daunting and often frustrating. But what happens when you hop on the metro in another city? How close is too close to stand next to your fellow passenger, and are you supposed to talk to the driver? In an effort to understand global public transport etiquette.",Always give up your seat for a monk. The unspoken rules of public transport: navigating public transport is daunting and often frustrating. But what happens when you hop on the metro in another city? How close is too close to stand next to a stranger? What about the etiquette of using public transport when you’re a monk?,1
The mental health college that's a lifeline in a sea of being alone. The students gathered on a three-hour “Five Ways to Improve Your Wellbeing” course in South London are about to have a powerful realisation. One of the group is asked to think about how many hours a week she spends seeing healthcare professionals such as health visitors or psychiatrists.,"The mental health college that's a lifeline in a sea of being alone. The students gathered on a three-hour “Five Ways to Improve Your Wellbeing” course in South London are about to have a powerful realisation. One of the group is an aspiring doctor. “I’ve always been a perfectionist,” he says.",1
"London Force in 2018 claims he was approached by an officer he knew near Parliament Square during the group’s campaign of nonviolent mass civil disobedience in London in October 2018. “He asked if I wanted to come on the books – to become a covert human intelligence source,” Stephens said.",London Force in 2018 claims he was approached by an officer he knew near Parliament Square during the group’s campaign of nonviolent mass civil disobedience in London in October 2018. The force said it had no evidence that the officer had been involved in the protests.,1
"Dursey residents warn they may abandon the island if the cable car is not fixed. If Ireland’s only island cable car is not quickly repaired, cattle on Dursey face starvation and humans may abandon it for the first time in 42 years. Locals have warned. Martin Sheehan, a third-generation farmer on Dursey, delivered the stark warning.","Dursey residents warn they may abandon the island if the cable car is not fixed. If Ireland’s only island cable car is not quickly repaired, cattle on Dursey face starvation and humans may abandon it for the first time in 42 years. The car is one of two that connect the island to the mainland.",1
"Jonathan Wilson tweeted their own experiences and those of the Liverpool fans left feeling let down, unsafe, and downright scared. Still, there were plenty more on social media – but crucially nowhere near Paris – who knew better. Childish tribalism meant they were happy to point their big finger of blame squarely in the direction of Li.","Jonathan Wilson tweeted their own experiences and those of the Liverpool fans left feeling let down, unsafe, and downright scared. Still, there were plenty more on social media – but crucially nowhere near Paris – who knew better than to make such a fuss. The only way to put it is that this was",0
"A journalist, and suddenly the profession seemed tarnished. This felt carelessly offensive, even personal. In a strange reversal, I felt ashamed for Indians in Britain, embarrassed that a revered figure such as Gandhi could be usurped in a national newspaper by the actor who played him in a British film. An apology was printed: “Sorry.”","A journalist, and suddenly the profession seemed tarnished. This felt carelessly offensive, even personal. In a strange reversal, I felt ashamed for Indians in Britain, embarrassed that a revered figure such as Gandhi could be usurped by a celebrity who had never shown the slightest interest in the subject and who had only appeared",1
"Got there though the dialogue is in the ancient language of Rhaetian. A title card smugly insists, “Translation is not required to understand this story.” Thus, there are no subtitles. While this quirk fails to add intrigue given the straightforward nature of the tale, it’s not a problem. Ötzi, aka Kelab Jürgen V.","Got there though the dialogue is in the ancient language of Rhaetian. A title card smugly insists, “Translation is not required to understand this story.” Thus, there are no subtitles. While this quirk fails to add intrigue, it’s also a bit of a letdown that the film doesn’t.",1
"11:45 pm on 29 March next year, British and EU negotiators find themselves dealless in the Brexit talks. Stopping the clock won’t be an option since the UK’s EU Withdrawal Act enshrines that Britain must leave the EU at midnight Central European Time, so Brexit will actually have happened then.","11:45 pm on 29 March next year, British and EU negotiators find themselves dealless in the Brexit talks. Stopping the clock won’t be an option since the UK’s EU Withdrawal Act enshrines the country’s departure from the union at 11 pm.",1
"About as often as Mark McCall appears on Love Island for the first 10 minutes or so last year, Exeter pinged the ball around with confidence and Saracens barely had a touch. It did not last. Two quickfire tries before the end of the first quarter, through Billy Vunipola and Chris Wyles, and the game was effectively up.","About as often as Mark McCall appears on Love Island for the first 10 minutes or so last year, Exeter pinged the ball around with confidence and Saracens barely had a touch. It did not last. Two quickfire tries before the home side had wrapped up the match. They have gone on to beat Harlequins.",0
I have written these paragraphs before; they appeared word for word in a 2016 review I wrote for a small Sydney music magazine called.,"A strange, tender, beautiful creature – unexplainable, the servant of no master. He was just this thing that entered my life, shared a little room with me, and then moved on, leaving the tiniest scrap of beauty behind. I have written these paragraphs in my journal to try to explain the strange and beautiful creature that entered my life, a creature.",0
"Obituary 4 January, with music by Ilona Sekacz, was the first community work staged by a major UK opera company. We toured six towns and cities: Basildon, Bury St Edmunds, Barrow-in-Furness, Buxton, Glasgow, and London. At each venue, the professional cast was joined by a large community chorus.","Obituary 4 January, with music by Ilona Sekacz, was the first community work staged by a major UK opera company. We toured six towns and cities: Basildon, Bury St Edmunds, Barrow-in-Furness, Cromer, and Selsey. It was a huge success.",1
"The UK’s right-wing UKIP party said on Thursday, “Anything is possible,” in response to Donald Trump’s proposal that he become UK ambassador to the US. Farage, who is the party’s former and interim leader, admitted he did not expect to get the position, which the British government has made clear is not vacant, but said.","The UK’s right-wing UKIP party said on Thursday, “Anything is possible,” in response to Donald Trump’s proposal that he become UK ambassador to the US. Farage, who is the party’s former and interim leader, said the idea was “not far-fetched” and that the UK had a “long history.”",0
"The point on the subsequent report must have been Aron Gunnarsson’s incredible long throw, which created Jon Bodvarsson’s opener in that game. Yet England completely switched off as he hurled the ball into the box for Iceland’s equaliser. Here, it was an almost identical goal: a flat delivery from the right, a near-post flick-on.","The point on the subsequent report must have been Aron Gunnarsson’s incredible long throw, which created Jon Bodvarsson’s opener in that game. Yet England completely switched off as he hurled the ball into the box for the second time in as many games. It was a sign of how far away England...",1
"In the footsteps of George Lansbury, a lost radical who led an East End rebellion, kings and queens are immortalised in statues, prime ministers are remembered with official portraits, but an opposition leader best known for his pacifism before the Second World War has to make do with a fading mural knocked up on a CR.","In the footsteps of George Lansbury, a lost radical who led an East End rebellion, kings and queens are immortalised in statues, prime ministers are remembered with official portraits, but an opposition leader best known for his radicalism and his opposition to the war was not commemorated with a statue. George",1
"Europe’s air pollution crisis. Inside the 29 September Guardian Weekly, The Guardian launched its new Europe website last week with an exclusive investigation into the dangerous levels of air pollution being measured across the continent. The research found that 98% of Europeans live in areas with highly damaging fine particulate pollution that exceeds World Health Organization guidelines.","Europe’s air pollution crisis. Inside the 29 September Guardian Weekly, The Guardian launched its new Europe website last week with an exclusive investigation into the dangerous levels of air pollution being measured across the continent. The research found that 95% of people in London and Berlin are exposed to levels of air pollution.",0
"The UK with £723m over the weekend period and a six-day £1,238m total, including takings from Tuesday, Wednesday, and Thursday last week. Thor: Ragnarok is the latest Marvel sequel to raise the bar on previous films in the series. The original Thor movie began in May 2011 with","The UK with £723m over the weekend period and a six-day £1,238m total, including takings from Tuesday, Wednesday, and Thursday last week. Thor: Ragnarok is the latest Marvel to pull in a record-breaking box office haul in the UK, with the latest figures",1
"Will whole-body cryotherapy cure me or leave me cold? I have been feeling the heat recently—that claustrophobic quality a summer can have when the windows are open, yet there’s no escape. Desperate for a means of cooling down, I’ve been obsessed with the idea of whole-body cryotherapy: £95 for three minutes.","Will whole-body cryotherapy cure me or leave me cold? I have been feeling the heat recently—that claustrophobic quality a summer can have when the windows are open, yet there’s no escape. Desperate for a means of cooling down, I decided to try a treatment that is increasingly popular in the UK.",0
"Mediterranean countries. It is also carried west on Atlantic trade winds. Dust from North Africa fertilises the Amazon, but it also causes air pollution problems in Caribbean islands and the southern US. Desert dust is not like builder’s sand; it contains many biological particles and allergens. A recent study in Miami found increased hospital visits.","Mediterranean countries. It is also carried west on Atlantic trade winds. Dust from North Africa fertilises the Amazon, but it also causes air pollution problems in Caribbean islands and the southern US. Desert dust is not like a cloud of sand, but rather a fine powder that is transported over long distances.",1
"Witness the main aim of education being how to achieve as high a position as possible in the league tables. As head of a department, I found myself in a dilemma: if a large number of pupils wished to take the subject, there would be a strong possibility of more pupils failing the A-C grades. One could play the system simply by putting off the least academic pupils.","Witness the main aim of education being how to achieve as high a position as possible in the league tables. As head of a department, I found myself in a dilemma: if a large number of pupils wished to take the subject, there would be a shortage of teachers. I therefore made a decision to allow pupils to take the subject if they wished, but...",0
"The time the first licences were issued in 2017, Teboho Mohale had just finished high school. Except for a police station and the Maluti Adventist Hospital, which employ a handful of people, there are few job opportunities in Mapoteng, so Mohale started planting Matekoane cannabis to sell to local people. Five years on,","The time the first licences were issued in 2017, Teboho Mohale had just finished high school. Except for a police station and the Maluti Adventist Hospital, which employ a handful of people, there are few job opportunities for people in the small town of Soshanguve, South Africa.",0
"2015 general election UKIP has moved away from being a pro-individual rights, small-state, and fiscally responsible party. It’s now an ultraconservative party with little more to offer than unattainable kneejerk pledges on immigration. I decided in April that I’m voting Conservative, not because I like their policies – quite","2015 general election UKIP has moved away from being a pro-individual rights, small-state, and fiscally responsible party. It’s now an ultraconservative party with little more to offer than unattainable kneejerk reactions to current events, according to the independent thinktank the Centre for Political Studies",0
"Opera fan, instead of Verdi, he got a psyops playlist that included Billy Idol’s ""Flesh for Fantasy,"" ""Welcome to the Jungle"" by Guns N’ Roses, ""God Bless the USA"" by Lee Greenwood, ""We’re Not Gonna Take It"" by Twisted Sister, several songs by The Doors including ""Strange Days,"" ""People Are Strange,"" ""The End,"" and ""War Pigs.","Opera fan, instead of Verdi, he got a psyops playlist that included Billy Idol’s ""Flesh for Fantasy,"" ""Welcome to the Jungle"" by Guns N’ Roses, ""God Bless the USA"" by Lee Greenwood, ""We’re Not in the USA Anymore, You Know"" by Country Club, the song that would’ve been the first.",1
"Irrelevant. It makes no sense being generous. One could argue that the Italian authorities have been pragmatic since, unusually in an EU country, small savers often own bonds directly. What’s more, by rescuing senior bondholders, they have averted the danger that capital would flee.","Irrelevant. It makes no sense being generous. One could argue that the Italian authorities have been pragmatic since, unusually in an EU country, small savers often own bonds directly. What’s more, by rescuing senior bondholders, they are preventing the government from having to raise.",1
"Son said, “I have every sympathy for people who are finding it tough, I really, really do.” However, he said not removing the £20 increase introduced amid the coronavirus pandemic would cost a lot. “We have to recognise that in order to maintain the COVID uplift, you’ve got to find another £5bn to £6bn in tax.”","Son said, “I have every sympathy for people who are finding it tough, I really, really do.” However, he said not removing the £20 increase introduced amid the coronavirus pandemic would cost a lot. “We have to recognise that in some parts of the country there are people who have been really hard hit by this.”",1
"Ake, what did you talk about? Brexit woes, drunken injuries, any awkward moments? He was waiting outside, and I walked straight past him only to be escorted back outside. Good table manners, very efficient. Best thing about Jared: he was a good listener. Would you introduce him to your friends? Sure. Describe him in three words: polite, passionate, tall. What do you think?","Ake, what did you talk about? Brexit woes, drunken injuries, any awkward moments? He was waiting outside, and I walked straight past him only to be escorted back outside. Good table manners, very efficient. Best thing about Jared: he's so nice to everybody; even the waiters are nice to him. He's very polite and friendly.",1
"Out, 'Currys, how is this happening?' one user tweeted. Another posted, 'Bit of a joke you being Currys PC World and your website crashing. Remind me never to go to you for a PC.' A spokeswoman said, 'Currys PC World's website experienced a few issues for a short period of 15 minutes just after midnight.'","Out, 'Currys, how is this happening?' one user tweeted. Another posted, 'Bit of a joke you being Currys PC World and your website crashing. Remind me never to go to you for a PC.' A spokeswoman for Currys said, 'We’re sorry for the inconvenience to our customers.'",1
"Labour demands stricter air pollution limits after child poverty link revealed. The Labour Party has demanded stricter limits on air pollution after analysis showed the close correlation between children living in poverty and dirty air in the UK. Five London boroughs rank worst for child poverty and worst for dirty air, according to government data collated by Labour mapping areas.","Labour demands stricter air pollution limits after child poverty link revealed. The Labour Party has demanded stricter limits on air pollution after analysis showed the close correlation between children living in poverty and dirty air in the UK. Five London boroughs have some of the worst air quality in the UK, with the most deprived.",1
"Always give up your seat for a monk. The unspoken rules of public transport: navigating public transport is daunting and often frustrating. But what happens when you hop on the metro in another city? How close is too close to stand next to your fellow passenger, and are you supposed to talk to the driver? In an effort to understand global public transport etiquette.","Always give up your seat for a monk. The unspoken rules of public transport: navigating public transport is daunting and often frustrating. But what happens when you hop on the metro in another city? How close is too close to stand? Can you talk on your phone, or do you need to use headphones? Should you give up your seat?",0
"He replied, “No one knows what’s going to happen in the future, so maybe one day, yes.” As for the prospect of moving this summer, he added, “It’s not up to me. We’ll see what happens, but I prefer not to talk about that now.” RB Leipzig, meanwhile, have claimed the sale of Ibrahima Konaté is","He replied, “No one knows what’s going to happen in the future, so maybe one day, yes.” As for the prospect of moving this summer, he added, “It’s not up to me. We’ll see what happens, but I prefer not to think about it.” A few weeks after, he was named captain of the US",0
"More vivid your outlook, more expansive, more real in ways I can’t see or imagine. I can’t wait to see you seeing a bird for the first time, whether peregrine or pigeon. All I keep coming back to are two sentences that feel like a prayer: there is so much beauty in this world; you have it all to come. Country Diary.","More vivid your outlook, more expansive, more real in ways I can’t see or imagine. I can’t wait to see you seeing a bird for the first time, whether peregrine or pigeon. All I keep coming back to is the beauty of a bird. It is such a simple thing, but one that has so much depth and complexity.",0
"Drugmaker Eli Lilly says it will cut insulin prices by 70%. Eli Lilly will cut list prices by 70% for its most commonly prescribed forms of insulin, Humalog and Humulin, beginning from the fourth quarter of this year, the drugmaker said on Wednesday. The move comes amid criticism of healthcare companies by US law.","Drugmaker Eli Lilly says it will cut insulin prices by 70%. Eli Lilly will cut list prices by 70% for its most commonly prescribed forms of insulin, Humalog and Humulin, beginning from the start of 2020. The move follows a similar pledge from the US drugmaker.",0
"She was responding to a question from Labour’s Jess Phillips, who said, “It seems our laws allow rich and powerful men to do what they want as long as they pay to keep it quiet.” NDAs have come under particular scrutiny since serious allegations of sexual abuse last year against the American former film producer Harvey Wein.","She was responding to a question from Labour’s Jess Phillips, who said, “It seems our laws allow rich and powerful men to do what they want as long as they pay to keep it quiet.” NDAs have come under intense scrutiny in recent months as a wave of sexual harassment allegations.",1
BT profits dive by 40% after £225m payout over Italian scandal. BT’s profits fell more than 40% in the first quarter of its new financial year after it was forced to pay out £225m to two shareholders following the accounting scandal at its Italian operation Deutsche Telekom.,BT profits dive by 40% after £225m payout over Italian scandal. BT’s profits fell more than 40% in the first quarter of its new financial year after it was forced to pay out £225m to settle a scandal over its use.,1
"US government logs more than 500 UFO reports, with hundreds unexplained. The US government is examining 510 UFO reports, more than triple the number in its 2021 file. While many were caused by drones or balloons, hundreds remain unexplained, according to a report released on Thursday the 20th.","US government logs more than 500 UFO reports, with hundreds unexplained. The US government is examining 510 UFO reports, more than triple the number in its 2021 file. While many were caused by drones or other man-made objects, there were still hundreds of unexplained cases.",1
"Gospel singer Kelly Price has said she almost died from COVID-19 – and was never missing as family members feared. Price announced her COVID diagnosis in July, according to the website TMZ. Family members said the singer was rushed to the hospital about a week later. This month, Price became the subject of a missing person’s report confirmed by authorities in Cobb County.","Gospel singer Kelly Price has said she almost died from COVID-19 – and was never missing as family members feared. Price announced her COVID diagnosis in July, according to the website TMZ. Family members said the singer was rushed to the hospital after being admitted with a fever, but she was sent home after tests.",1
"I last saw her at a book day organised by Good Housekeeping. I asked what she was writing. “Oh,” she said, “I’m not writing anything at the moment. I am being a writer.” Emma Dally, London, 20230106","I last saw her at a book day organised by Good Housekeeping. I asked what she was writing. “Oh,” she said, “I’m not writing anything at the moment. I am being a writer.” Emma Dally, London, 2",1
"Voices for Musica Britannica, published in 2000. He was never happier than when working with old manuscripts and printed sources. He developed an extensive knowledge of these sources, their provenances, and their locations. His curiosity in the Hamilton Harty archive in Belfast, left by the composer to the university, gave rise to an edited book of essays, Hamilton Harty.","Voices for Musica Britannica, published in 2000. He was never happier than when working with old manuscripts and printed sources. He developed an extensive knowledge of these sources, their provenances, and their locations. His curiosity in the Hamilton Harty manuscripts, for example, led him to a wealth of information about Harty’s life.",1
"In the Inter-American Commission on Human Rights, Endaum and the New Mexico Environmental Law Center made a substantial evidence filing last week with the commission alleging that the US government and its Nuclear Regulatory Commission (NRC) have violated their human rights by licensing uranium mines in their communities. The petition with the commission won’t necessarily offer Endaum legal recourse.","In the Inter-American Commission on Human Rights, Endaum and the New Mexico Environmental Law Center made a substantial evidence filing last week with the commission alleging that the US government and its Nuclear Regulatory Commission (NRC) have violated their human rights obligations by failing to protect Americans from the dangers of nuclear power.",1
